City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Pevek,69.7,170.31,35.31,83,100,14.41,RU,1589083582
Honiara,-9.43,159.95,89.6,70,20,14.99,SB,1589083582
Zaysan,47.47,84.87,74.98,19,100,2.62,KZ,1589083583
Ikungi,-5.13,34.77,58.08,89,60,9.42,TZ,1589083583
Saint-Pierre,-21.34,55.48,68.0,82,20,8.05,RE,1589083583
Melito di Porto Salvo,37.92,15.77,63.0,94,100,7.0,IT,1589083584
Yellowknife,62.46,-114.35,33.8,55,20,12.75,CA,1589083584
Orsha,54.52,30.41,48.61,80,100,4.76,BY,1589083586
Mastic Beach,40.77,-72.85,39.0,71,26,1.99,US,1589083586
Hasaki,35.73,140.83,73.99,88,75,9.17,JP,1589083586
Nhulunbuy,-12.23,136.77,86.0,62,75,19.46,AU,1589083587
Tasiilaq,65.61,-37.64,32.0,86,18,16.11,GL,1589083587
Avarua,-21.21,-159.78,80.6,78,8,14.99,CK,1589083587
Albany,42.6,-73.97,37.99,63,49,1.99,US,1589083588
San Patricio,19.22,-104.7,73.92,79,0,3.38,MX,1589083589
George Town,5.41,100.34,86.0,84,40,3.36,MY,1589083465
Paamiut,61.99,-49.67,42.78,60,88,16.62,GL,1589083590
Cape Town,-33.93,18.42,55.4,100,75,2.24,ZA,1589083590
Isangel,-19.55,169.27,78.8,69,75,5.82,VU,1589083590
Butaritari,3.07,172.79,84.04,74,69,5.66,KI,1589083591
Trebinje,42.71,18.34,55.4,62,24,8.05,BA,1589083383
North Bend,43.41,-124.22,57.2,87,90,4.7,US,1589083592
Badou,7.58,0.6,74.44,89,89,2.26,TG,1589083592
Kapaa,22.08,-159.32,75.2,73,75,17.22,US,1589083593
Glendive,47.11,-104.71,39.0,93,90,4.7,US,1589083593
Gemeente Wageningen,51.97,5.67,55.0,81,75,2.24,NL,1589083594
Norman Wells,65.28,-126.83,48.2,45,5,17.22,CA,1589083594
Marystown,47.17,-55.15,37.81,85,100,18.45,CA,1589083595
Port Hedland,-20.32,118.57,89.6,31,87,18.34,AU,1589083296
Sur,22.57,59.53,87.46,46,0,3.4,OM,1589083464
Pisco,-13.7,-76.22,66.99,82,25,6.93,PE,1589083596
Bluff,-46.6,168.33,59.32,74,45,6.04,NZ,1589083596
Port Elizabeth,-33.92,25.57,55.4,93,0,3.36,ZA,1589083597
Nantucket,41.28,-70.1,41.0,52,40,18.34,US,1589083554
São José da Coroa Grande,-8.9,-35.15,76.41,82,78,2.06,BR,1589083598
Port Alfred,-33.59,26.89,64.0,72,0,8.21,ZA,1589083598
Warah,27.45,67.8,99.09,27,0,6.02,PK,1589083598
Phan Thiet,10.93,108.1,91.94,50,98,8.79,VN,1589083599
Mataura,-46.19,168.86,60.1,73,45,2.55,NZ,1589083599
Manta,-0.95,-80.73,78.8,74,20,5.82,EC,1589083599
Opuwo,-18.06,13.84,60.44,50,0,7.83,NA,1589083599
Grafton,42.21,-71.69,35.01,67,46,4.0,US,1589083502
Namatanai,-3.67,152.43,86.83,69,31,10.56,PG,1589083600
Dunmore Town,25.5,-76.65,78.19,78,100,15.57,BS,1589083601
Nome,64.5,-165.41,54.0,46,1,11.41,US,1589083601
Dwārka,22.24,68.97,85.71,67,0,8.41,IN,1589083539
Lagoa,39.05,-27.98,59.11,71,46,28.14,PT,1589083602
Ponta do Sol,32.67,-17.1,64.4,68,40,2.24,PT,1589083602
East London,-33.02,27.91,55.4,82,0,3.36,ZA,1589083602
San Rafael del Sur,11.85,-86.44,82.26,74,77,5.99,NI,1589083602
Joshīmath,30.57,79.57,64.72,35,8,4.99,IN,1589083603
Henties Bay,-22.12,14.28,69.08,45,0,2.28,NA,1589083603
Yerbogachën,61.28,108.01,48.13,55,76,25.86,RU,1589083604
Tuktoyaktuk,69.45,-133.04,37.4,74,20,14.99,CA,1589083604
Caravelas,-17.71,-39.25,70.68,78,31,9.64,BR,1589083604
Qaanaaq,77.48,-69.36,9.0,83,99,5.55,GL,1589083605
Saskylakh,71.92,114.08,27.55,97,100,6.64,RU,1589083605
Quatre Cocos,-20.21,57.76,75.0,73,40,8.05,MU,1589083606
Belaya Gora,68.53,146.42,34.86,89,98,9.04,RU,1589083606
Jamestown,42.1,-79.24,35.6,64,90,10.29,US,1589083607
Constitución,-35.33,-72.42,55.36,86,25,4.12,CL,1589083607
Darhan,49.49,105.92,53.96,40,19,8.57,MN,1589083607
Hithadhoo,-0.6,73.08,84.92,74,93,10.54,MV,1589083607
Balkanabat,39.51,54.37,79.63,30,74,14.9,TM,1589083608
Castro,-24.79,-50.01,49.39,90,0,3.87,BR,1589083608
Bathsheba,13.22,-59.52,80.6,69,40,18.34,BB,1589083608
Waingapu,-9.66,120.26,84.96,66,4,15.03,ID,1589083608
Kargasok,59.06,80.86,74.98,35,5,4.76,RU,1589083609
Avera,33.19,-82.53,51.8,81,1,1.16,US,1589083609
Chiang Klang,19.29,100.86,84.2,74,99,3.36,TH,1589083609
Lensk,60.73,114.93,40.05,89,100,7.9,RU,1589083610
Dodoma,-6.17,35.74,62.47,88,63,3.15,TZ,1589083610
Qasigiannguit,68.82,-51.19,30.2,86,100,4.7,GL,1589083610
Yumen,40.28,97.2,53.4,37,20,19.86,CN,1589083610
Fond du Lac,43.77,-88.44,48.2,45,90,8.05,US,1589083535
Asău,46.43,26.4,51.01,100,0,3.36,RO,1589083611
Kununurra,-15.77,128.73,95.0,20,5,14.99,AU,1589083611
Saint-Philippe,-21.36,55.77,68.0,82,20,8.05,RE,1589083612
Kapoeta,4.77,33.59,78.12,71,100,1.1,SS,1589083612
Thinadhoo,0.53,72.93,84.79,78,92,12.44,MV,1589083612
Loandjili,-4.76,11.86,79.09,91,100,6.67,CG,1589083612
Kuybyshevo,47.81,38.91,49.89,80,10,8.19,RU,1589083613
Iqaluit,63.75,-68.51,32.0,94,90,17.22,CA,1589083613
Hilo,19.73,-155.09,78.8,57,90,4.7,US,1589083613
Ibrā’,22.69,58.53,94.57,13,9,4.81,OM,1589083614
Los Llanos de Aridane,28.66,-17.92,66.2,68,17,4.7,ES,1589083614
Faya,18.39,42.45,64.4,72,69,3.09,SA,1589083614
Srednekolymsk,67.45,153.68,39.42,79,100,16.71,RU,1589083615
Lebu,-37.62,-73.65,56.25,86,94,10.25,CL,1589083615
Vokhma,58.93,46.76,54.63,88,42,10.2,RU,1589083615
Nadvoitsy,63.87,34.32,35.89,84,34,7.18,RU,1589083615
Tezu,27.92,96.17,92.66,27,0,4.12,IN,1589083616
Grand Gaube,-20.01,57.66,75.0,76,24,3.0,MU,1589083616
Puri,19.8,85.85,87.8,74,40,5.82,IN,1589083616
Maraã,-1.83,-65.37,74.23,98,100,1.3,BR,1589083617
Kajiado,-1.85,36.78,60.8,93,40,5.82,KE,1589083617
San Javier,37.81,-0.84,64.99,82,100,5.82,ES,1589083505
Bengkulu,-3.8,102.27,85.77,64,48,4.25,ID,1589083618
Touros,-5.2,-35.46,73.4,94,40,3.36,BR,1589083618
Bristol,41.83,-71.17,36.0,51,1,8.05,US,1589083619
Coquimbo,-29.95,-71.34,51.8,87,0,2.24,CL,1589083619
Yining,29.04,114.56,83.48,50,0,2.62,CN,1589083619
Hyères,43.12,6.12,60.01,93,61,3.36,FR,1589083620
Devrek,41.22,31.96,50.41,57,0,4.41,TR,1589083620
Sinnamary,5.38,-52.95,78.06,88,56,11.3,GF,1589083620
Murray Bridge,-35.12,139.27,60.01,70,30,5.01,AU,1589083620
Lorengau,-2.02,147.27,86.9,69,3,10.11,PG,1589083621
Lahaina,20.88,-156.68,78.8,61,75,16.11,US,1589083324
Leningradskiy,69.38,178.42,30.74,97,100,13.11,RU,1589083622
New Norfolk,-42.78,147.06,53.01,68,74,3.0,AU,1589083622
Guarapari,-20.67,-40.5,64.0,93,40,1.12,BR,1589083623
Xinqing,48.23,129.5,74.25,26,33,2.75,CN,1589083623
Río Gallegos,-51.62,-69.22,39.2,100,90,1.12,AR,1589083623
Sampit,-2.53,112.95,94.86,51,43,2.15,ID,1589083623
Kambove,-10.88,26.6,53.89,86,2,6.62,CD,1589083624
Kupang,-10.17,123.58,91.4,41,20,18.34,ID,1589083624
Port Hawkesbury,45.62,-61.35,35.01,86,90,24.16,CA,1589083625
Portland,45.52,-122.68,80.6,24,75,10.29,US,1589083200
Saint Paul Harbor,57.79,-152.41,46.4,75,90,4.7,US,1589083625
Cap Malheureux,-19.98,57.61,75.0,76,20,3.0,MU,1589083626
Peruíbe,-24.32,-47.0,63.0,88,1,3.69,BR,1589083626
Nacala,-14.54,40.67,69.4,92,33,8.72,MZ,1589083626
Kiryat Gat,31.61,34.76,62.01,79,5,5.46,IL,1589083626
Gorontalo,0.54,123.06,87.35,68,49,5.32,ID,1589083627
Kita,13.03,-9.49,85.66,51,29,7.02,ML,1589083628
Vao,-22.67,167.48,72.57,65,92,9.44,NC,1589083565
Cockburn Town,21.46,-71.14,80.87,85,0,16.67,TC,1589083629
Mahon,39.89,4.27,64.4,88,66,12.75,ES,1589083629
Cairns,-16.92,145.77,84.2,48,75,13.87,AU,1589083386
Bredasdorp,-34.53,20.04,53.6,93,0,4.7,ZA,1589083630
Esperance,-33.87,121.9,64.4,42,0,17.22,AU,1589083630
Béboto,8.27,16.94,76.5,77,100,4.18,TD,1589083630
Lavrentiya,65.58,-171.0,36.07,89,100,10.25,RU,1589083631
Goderich,43.75,-81.72,34.0,77,6,6.87,CA,1589083632
Laje,-10.18,-40.97,68.38,77,97,15.03,BR,1589083632
Yelizovo,53.19,158.38,48.2,34,23,22.37,RU,1589083632
Mnogovershinnyy,53.94,139.92,49.71,54,0,2.71,RU,1589083632
Riyadh,24.69,46.72,82.4,32,100,11.41,SA,1589083350
Severo-Kuril'sk,50.68,156.12,34.81,86,84,17.0,RU,1589083633
Khandyga,62.67,135.6,37.4,79,98,4.29,RU,1589083635
Bahía Blanca,-38.72,-62.27,58.82,43,23,9.93,AR,1589083635
Meulaboh,4.14,96.13,85.53,73,100,5.44,ID,1589083635
Tiksi,71.69,128.87,26.58,95,1,7.4,RU,1589083636
Cherskiy,68.75,161.3,43.74,60,100,13.15,RU,1589083636
Alice Springs,-23.7,133.88,64.4,25,0,16.11,AU,1589083515
Sturgeon Bay,44.83,-87.38,46.4,52,90,8.05,US,1589083636
Xichang,27.9,102.26,78.4,36,2,3.31,CN,1589083637
Khatanga,71.97,102.5,30.79,98,90,12.86,RU,1589083637
Alofi,-19.06,-169.92,84.2,74,100,8.05,NU,1589083638
Emerald,-23.53,148.17,87.01,33,59,4.7,AU,1589083503
Ust-Nera,64.57,143.2,36.66,78,96,7.92,RU,1589083638
Talnakh,69.49,88.4,32.0,97,40,20.13,RU,1589083639
Illapel,-31.63,-71.17,51.12,71,0,1.83,CL,1589083639
Paka,4.64,103.44,84.2,89,40,3.36,MY,1589083639
Båtsfjord,70.63,29.72,29.75,95,100,4.43,NO,1589083640
Salalah,17.02,54.09,82.4,78,40,6.93,OM,1589083602
Trairi,-3.28,-39.27,73.2,88,52,4.32,BR,1589083640
Toora-Khem,52.47,96.11,63.97,28,10,0.85,RU,1589083641
Petropavlovsk-Kamchatskiy,53.05,158.65,48.2,34,10,22.37,RU,1589083557
Kudahuvadhoo,2.67,72.89,85.37,76,96,12.3,MV,1589083642
Tual,-5.67,132.75,83.46,76,87,17.27,ID,1589083642
Safi,32.3,-9.24,63.79,77,74,7.7,MA,1589083642
Rome,43.21,-75.46,37.4,55,90,14.99,US,1589083643
Fortuna,40.6,-124.16,55.0,100,1,5.82,US,1589083643
Aketi,2.74,23.78,70.0,97,99,1.12,CD,1589083644
Ribeira Grande,38.52,-28.7,59.23,71,25,23.58,PT,1589083644
Burnie,-41.07,145.92,55.0,69,74,8.99,AU,1589083644
Port Macquarie,-31.43,152.92,69.01,36,0,1.99,AU,1589083645
Peterhead,57.51,-1.8,39.99,80,20,12.75,GB,1589083645
Airai,-8.93,125.41,71.11,69,58,4.52,TL,1589083645
Monrovia,6.3,-10.8,79.45,85,96,6.08,LR,1589083563
Hazleton,40.96,-75.97,34.0,59,75,8.05,US,1589083401
Narsaq,60.92,-46.05,51.8,23,1,21.92,GL,1589083647
Saldanha,-33.01,17.94,53.6,81,0,2.24,ZA,1589083647
Cabedelo,-6.98,-34.83,73.4,94,29,4.7,BR,1589083647
Tilichiki,60.47,166.1,33.24,100,100,6.35,RU,1589083647
Kushima,31.46,131.23,75.2,88,90,12.75,JP,1589083648
Banda Aceh,5.56,95.32,83.01,77,100,3.62,ID,1589083648
Marawi,8.0,124.29,84.99,81,100,7.0,PH,1589083648
Adrar,20.5,-10.07,83.84,14,37,12.77,MR,1589083648
Kamenka,51.32,42.77,48.0,91,0,8.99,RU,1589083649
Matadi,-5.82,13.45,76.01,90,46,1.81,CD,1589083649
Torbay,47.67,-52.73,46.0,100,90,24.16,CA,1589083514
Bismarck,46.81,-100.78,39.2,55,1,10.29,US,1589083650
Sibu,2.3,111.82,89.6,70,75,3.36,MY,1589083639
Borba,-4.39,-59.59,74.35,97,64,1.74,BR,1589083651
Chitral,35.85,71.79,68.52,26,0,4.65,PK,1589083651
Pochutla,15.74,-96.47,84.0,77,0,2.59,MX,1589083651
Clarksburg,39.28,-80.34,37.4,51,1,3.36,US,1589083371
Mahanoro,-19.9,48.8,69.44,90,75,7.49,MG,1589083653
Cabo San Lucas,22.89,-109.91,73.4,78,5,12.88,MX,1589083586
San Jose,37.34,-121.89,63.0,72,40,11.41,US,1589083384
Upernavik,72.79,-56.15,15.67,94,100,9.66,GL,1589083653
Portobelo,9.55,-79.65,79.48,89,65,6.64,PA,1589083654
Yulara,-25.24,130.99,64.4,34,93,14.99,AU,1589083654
Grants,35.15,-107.85,59.0,13,1,5.82,US,1589083654
San Cristobal,7.77,-72.22,66.42,88,97,3.4,VE,1589083655
Ridgecrest,35.62,-117.67,87.8,12,1,8.05,US,1589083655
Klaksvík,62.23,-6.59,32.0,85,100,8.05,FO,1589083655
Birao,10.28,22.79,78.01,55,86,3.24,CF,1589083656
Huarmey,-10.07,-78.15,67.77,84,39,9.71,PE,1589083656
Tal'menka,53.82,83.57,68.0,20,0,15.66,RU,1589083657
Sokoni,-6.43,39.55,79.07,80,94,17.6,TZ,1589083657
Gizo Government Station,-8.1,156.84,84.42,79,72,12.08,SB,1589083657
Boende,-0.22,20.87,71.76,98,100,2.64,CD,1589083658
Bhādra,29.12,75.17,97.81,18,28,1.99,IN,1589083658
Port Lincoln,-34.73,135.87,61.66,53,2,9.57,AU,1589083658
Barrow,71.29,-156.79,30.2,92,1,5.82,US,1589083659
Hambantota,6.12,81.12,87.8,84,20,3.36,LK,1589083564
Maniitsoq,65.42,-52.9,39.22,72,90,6.17,GL,1589083660
Gbarnga,7.0,-9.47,72.64,98,96,2.06,LR,1589083660
Rehoboth,-23.32,17.08,53.8,42,0,4.97,NA,1589083660
Igarka,67.47,86.58,33.82,92,62,9.64,RU,1589083660
Luís Correia,-2.88,-41.67,76.71,87,100,4.63,BR,1589083661
St. George's,12.06,-61.75,80.6,78,20,17.22,GD,1589083661
El Guayabito,14.83,-86.03,70.2,89,93,3.49,HN,1589083661
Ankazoabo,-22.28,44.52,62.08,74,0,5.68,MG,1589083661
Heraclea,37.51,34.05,52.41,49,0,1.07,TR,1589083662
Pokosnoye,55.53,101.05,63.9,48,98,19.1,RU,1589083662
Codrington,-38.27,141.97,57.34,68,79,13.96,AU,1589083663
Kavieng,-2.57,150.8,85.46,78,86,13.94,PG,1589083663
Porto-Novo,6.5,2.6,84.2,83,40,8.05,BJ,1589083663
Mango,27.98,-82.31,73.4,77,75,6.93,US,1589083663
Lüderitz,-26.65,15.16,55.4,82,0,1.12,NA,1589083664
Saiha,22.48,92.97,97.05,21,0,1.83,IN,1589083664
Amga,60.9,131.96,40.69,62,100,4.85,RU,1589083664
Bima,-8.47,118.72,90.48,51,29,2.17,ID,1589083664
Cayenne,4.93,-52.33,77.0,100,75,10.13,GF,1589083665
Benguela,-12.58,13.41,75.2,63,57,3.8,AO,1589083665
Chapais,49.78,-74.85,24.8,79,90,10.29,CA,1589083665
Kisesa,-3.08,34.15,63.16,89,65,7.43,TZ,1589083666
Tuatapere,-46.13,167.68,61.25,67,94,6.38,NZ,1589083666
Salinópolis,-0.61,-47.36,79.05,85,97,8.19,BR,1589083666
Lompoc,34.64,-120.46,59.0,93,90,5.82,US,1589083415
Grimshaw,56.18,-117.6,42.8,52,75,9.17,CA,1589083666
Bermejo,-32.88,-68.8,57.2,54,0,3.36,AR,1589083667
Matagami,49.75,-77.63,26.6,92,90,9.17,CA,1589083667
Celestún,20.87,-90.4,78.53,83,28,9.64,MX,1589083668
Labuan,5.28,115.24,89.6,75,75,2.24,MY,1589083668
Fairbanks,64.84,-147.72,73.99,20,1,4.7,US,1589083381
Soledade,-28.82,-52.51,50.41,67,8,5.23,BR,1589083669
Tokur,53.13,132.9,54.21,55,87,11.01,RU,1589083669
Santa Maria,-29.68,-53.81,55.9,70,0,5.79,BR,1589083670
Lake Shasta,40.68,-122.37,75.99,43,89,1.01,US,1589083668
Broome,42.25,-75.83,32.0,97,90,10.29,US,1589083671
Beringovskiy,63.05,179.32,34.0,93,100,31.0,RU,1589083671
Inhambane,-23.86,35.38,67.93,83,1,9.91,MZ,1589083671
Sakakah,29.97,40.21,62.6,51,0,6.93,SA,1589083672
Kinel’-Cherkassy,53.47,51.47,55.62,72,46,14.03,RU,1589083672
Constantine,36.37,6.61,59.0,87,40,8.05,DZ,1589083673
Cidreira,-30.18,-50.21,62.02,79,0,7.54,BR,1589083673
Tyrma,50.08,132.17,67.6,35,3,4.18,RU,1589083674
Chui,-33.7,-53.46,54.59,82,13,8.21,UY,1589083674
Atar,20.52,-13.05,81.23,15,75,10.87,MR,1589083675
Hamilton,39.18,-84.53,44.6,60,1,2.93,US,1589083575
Kaeo,-35.1,173.78,66.0,17,52,8.01,NZ,1589083675
Araguaína,-7.19,-48.21,74.5,91,100,3.13,BR,1589083519
San Quintín,30.48,-115.95,64.6,82,0,6.6,MX,1589083676
Baykit,61.67,96.37,52.52,41,17,11.88,RU,1589083676
Shingū,33.73,135.98,68.0,100,90,9.17,JP,1589083676
Ust'-Kan,50.93,84.76,67.87,27,0,5.61,RU,1589083676
Juneau,58.3,-134.42,69.8,32,75,9.17,US,1589083677
Ippy,6.27,21.22,70.41,88,87,3.53,CF,1589083677
Colonial Heights,37.27,-77.41,37.99,67,1,3.31,US,1589083678
Palembang,-2.92,104.75,87.8,70,20,6.93,ID,1589083678
Vostok,46.49,135.88,45.39,93,100,3.96,RU,1589083678
Samarai,-10.62,150.67,81.05,81,88,13.89,PG,1589083679
Panama City,8.99,-79.52,84.0,99,35,3.6,PA,1589083541
Alassio,44.0,8.17,63.0,87,40,12.75,IT,1589083679
Wick,58.43,-3.08,35.6,69,98,24.16,GB,1589083679
Novy Urengoy,66.08,76.63,35.78,82,90,10.87,RU,1589083680
Ancud,-41.87,-73.82,50.0,87,75,12.75,CL,1589083680
Mapiripán,2.89,-72.13,73.06,94,67,3.31,CO,1589083680
Pacific Grove,36.62,-121.92,57.2,82,90,6.93,US,1589083680
Naze,28.37,129.48,75.2,94,75,13.87,JP,1589083681
Eyl,7.98,49.82,83.05,70,93,1.39,SO,1589083681
Palmer,42.16,-72.33,36.0,51,1,13.87,US,1589083681
Östersund,63.18,14.64,32.0,91,100,3.36,SE,1589083682
Kismayo,-0.36,42.55,79.95,84,95,11.63,SO,1589083682
Vanavara,60.34,102.28,55.15,37,13,19.13,RU,1589083682
Oistins,13.07,-59.53,80.6,69,40,18.34,BB,1589083683
Micheweni,-4.97,39.83,78.62,83,97,17.65,TZ,1589083683
Vila Velha,-20.33,-40.29,64.0,93,40,1.12,BR,1589083675
Ambilobe,-13.2,49.05,73.8,80,22,4.83,MG,1589083683
Haines Junction,60.75,-137.51,62.85,39,98,3.15,CA,1589083683
Kenai,60.55,-151.26,64.4,36,1,14.99,US,1589083625
Bafia,4.75,11.23,69.55,97,100,0.38,CM,1589083684
Osmanabad,18.17,76.05,92.64,25,2,5.73,IN,1589083684
Grindavik,63.84,-22.43,35.6,59,5,1.12,IS,1589083685
Timbiquí,2.77,-77.67,77.76,92,66,1.66,CO,1589083685
Grand Baie,-20.02,57.58,75.0,76,13,3.0,MU,1589083571
Imbituba,-28.24,-48.67,68.0,82,40,10.29,BR,1589083685
Aden,12.78,45.04,86.13,64,0,8.12,YE,1589083415
Kuching,1.55,110.33,91.4,70,40,5.82,MY,1589083686
Saint Anthony,45.02,-93.22,42.01,86,90,9.17,US,1589083686
Mahébourg,-20.41,57.7,73.4,73,40,8.05,MU,1589083687
Faanui,-16.48,-151.75,81.81,81,42,17.63,PF,1589083687
Upata,8.01,-62.4,79.0,83,17,7.0,VE,1589083688
‘Ewa Beach,21.32,-158.01,80.6,54,20,14.99,US,1589083446
Ikwiriri,-7.96,38.97,72.21,79,89,1.88,TZ,1589083688
Azul,-36.78,-59.86,52.0,83,0,5.91,AR,1589083689
Vardø,70.37,31.11,33.21,94,100,13.35,NO,1589083689
Rabo de Peixe,37.8,-25.58,60.8,93,75,24.16,PT,1589083689
Grøa,62.65,8.72,35.6,55,99,17.22,NO,1589083690
Anadyr,64.75,177.48,33.8,95,90,51.45,RU,1589083690
Basoda,23.85,77.93,100.31,14,21,5.82,IN,1589083690
Sitka,57.05,-135.33,69.8,28,75,4.7,US,1589083690
Dunedin,-45.87,170.5,54.0,82,87,1.01,NZ,1589083404
Villa Carlos Paz,-31.42,-64.5,63.0,71,66,10.29,AR,1589083691
Hong Kong,22.29,114.16,90.0,62,20,11.41,HK,1589083522
Cedar City,37.68,-113.06,64.4,27,1,6.93,US,1589083445
Zalţan,32.95,11.87,74.35,49,100,10.02,LY,1589083693
Socorro,31.65,-106.3,80.6,14,75,4.92,US,1589083628
Namie,37.48,141.0,68.0,89,86,3.0,JP,1589083694
Timmins,48.47,-81.33,28.4,86,90,6.93,CA,1589083523
Sørland,67.67,12.69,33.89,79,2,5.68,NO,1589083695
Aklavik,68.22,-135.01,44.6,52,40,8.05,CA,1589083695
Ambon City,-3.7,128.18,89.6,62,40,6.93,ID,1589083540
Alugan,12.22,125.48,85.78,73,96,7.56,PH,1589083696
Port Blair,11.67,92.75,86.27,73,56,8.72,IN,1589083546
Nyimba,-14.56,30.81,59.0,88,33,5.19,ZM,1589083696
Mortka,59.33,66.02,71.51,35,9,8.81,RU,1589083697
Husavik,66.04,-17.34,21.2,79,0,14.99,IS,1589083697
Buala,-8.14,159.59,85.91,71,53,5.73,SB,1589083697
Mayor Pablo Lagerenza,-19.93,-60.77,66.67,75,0,7.27,PY,1589083698
Capelinha,-17.69,-42.52,54.39,100,61,5.82,BR,1589083698
Lubbock,33.6,-101.83,66.2,34,1,14.99,US,1589083513
Amapá,1.0,-52.0,72.55,98,78,2.04,BR,1589083699
Sandwick,60.0,-1.25,30.2,80,21,10.29,GB,1589083699
Les Cayes,18.2,-73.75,78.26,86,58,6.22,HT,1589083699
Bonavista,48.65,-53.11,39.78,97,100,31.97,CA,1589083699
Ngawen,-7.0,111.31,86.36,66,9,5.68,ID,1589083700
Souillac,-20.52,57.52,73.4,73,40,8.05,MU,1589083666
Stutterheim,-32.57,27.42,55.4,82,2,3.36,ZA,1589083701
Jiexiu,37.02,111.91,73.27,24,1,10.45,CN,1589083701
West Plains,36.73,-91.85,51.8,62,1,5.82,US,1589083567
Forsytheganj,52.63,29.73,48.88,86,100,6.2,BY,1589083702
La Ronge,55.1,-105.28,33.8,55,20,11.41,CA,1589083703
Nueva Guinea,11.69,-84.46,75.96,96,100,3.85,NI,1589083703
Santo Antônio do Içá,-3.1,-67.94,73.81,98,100,1.52,BR,1589083703
Nanortalik,60.14,-45.24,39.45,71,12,18.84,GL,1589083704
Saint-Joseph,-21.37,55.62,68.0,82,20,8.05,RE,1589083704
Christchurch,-43.53,172.63,59.0,72,2,9.17,NZ,1589083462
Labuhan,-6.88,112.21,85.69,63,51,5.08,ID,1589083704
Asaba,6.2,6.73,77.45,93,97,0.13,NG,1589083705
Kaitangata,-46.28,169.85,55.99,76,80,5.99,NZ,1589083688
Kensington,-33.92,151.22,66.0,27,20,11.41,AU,1589083569
Bratsk,56.13,101.61,60.8,48,100,20.13,RU,1589083699
Ixtapa,20.7,-105.2,72.37,60,2,1.63,MX,1589083706
Batouri,4.43,14.37,68.56,97,100,1.83,CM,1589083706
La Santisima Trinidad,-14.83,-64.9,67.19,80,95,2.37,BO,1589083707
Nzérékoré,7.76,-8.82,71.06,99,87,2.66,GN,1589083707
Iquitos,-3.75,-73.25,75.2,88,75,1.21,PE,1589083708
Praia,14.92,-23.51,71.6,73,40,14.99,CV,1589083708
Churapcha,62.0,132.43,38.75,67,100,6.2,RU,1589083708
Chokurdakh,70.63,147.92,29.84,97,53,9.66,RU,1589083688
San Policarpo,12.18,125.51,85.73,72,95,7.65,PH,1589083709
Whitianga,-36.83,175.7,66.0,74,79,7.0,NZ,1589083710
Mildura,-34.2,142.15,57.99,54,40,6.93,AU,1589083627
Coahuayana Viejo,18.73,-103.68,75.22,82,0,0.96,MX,1589083710
Bull Savanna,17.89,-77.59,76.98,87,50,14.67,JM,1589083710
Banjar,-8.19,114.97,84.2,89,40,11.41,ID,1589083711
Rawson,-43.3,-65.1,63.09,38,74,20.76,AR,1589083711
Guerrero Negro,27.98,-114.06,65.5,80,0,14.9,MX,1589083671
Porangatu,-13.44,-49.15,67.59,91,92,5.26,BR,1589083712
Tagusao,9.19,117.81,88.03,63,100,5.61,PH,1589083712
Geraldton,-28.77,114.6,80.6,21,74,10.29,AU,1589083699
Belyy Yar,53.6,91.39,62.6,32,0,2.24,RU,1589083700
Kalispell,48.2,-114.31,53.6,40,1,13.87,US,1589083681
